,TimeSpent_minutes,Age_Range,humidity(%),Hour,TotalSpent_RM,Basket_colour,Pants_Colour,windspeed(km/h),Shirt_Colour,Day,temperature(Celcius),Body_Size,Dryer_No,Washer_No,Race
3543,39,40,87.0,10,21,5,1,5.0,2,7,26.0,2,10,3,3
1198,60,54,90.0,16,19,3,1,3.0,7,4,26.0,1,7,6,3
1111,60,51,92.0,4,20,7,3,3.0,7,6,26.0,1,9,4,1
327,55,37,91.0,6,15,1,8,6.0,2,7,25.0,0,7,4,1
1119,41,51,90.0,2,13,1,8,5.0,2,4,26.0,0,10,5,0
1903,44,38,76.0,10,18,7,5,5.0,10,6,27.0,2,9,5,0
1088,15,45,87.0,8,19,1,0,6.0,0,6,26.0,2,10,6,2
2537,22,24,92.0,0,8,6,4,6.0,3,7,26.0,1,7,3,2
2451,43,23,78.0,5,17,8,8,5.0,4,6,27.0,0,8,3,2
1997,58,26,76.0,2,7,0,8,5.0,1,5,28.0,2,9,4,3
3495,15,27,94.0,9,17,6,1,4.0,0,7,25.0,1,8,4,1
3820,32,27,69.0,13,18,6,1,6.0,8,3,28.0,2,10,5,2
3,13,51,82.0,21,16,2,5,6.0,2,1,27.0,0,9,5,2
3450,23,44,89.0,21,20,1,6,4.0,1,1,25.0,1,9,3,1
594,18,46,88.0,11,14,3,2,5.0,6,6,25.0,2,10,5,2
2742,22,51,76.0,11,15,7,4,7.0,9,5,27.0,2,10,5,0
3554,14,42,77.0,14,10,0,1,12.0,1,1,27.0,1,9,3,3
2094,49,25,88.0,10,9,4,3,4.0,2,1,25.0,2,10,6,3
1490,33,32,88.0,14,8,7,4,4.0,8,1,26.0,2,7,4,0
2753,45,33,86.0,1,21,6,6,6.0,6,4,26.0,1,8,6,1
3381,15,18,94.0,11,7,5,3,3.0,2,4,25.0,1,9,5,3
549,60,36,88.0,0,15,6,2,5.0,0,6,26.0,0,8,3,1
556,41,29,88.0,1,16,6,6,4.0,6,6,26.0,2,7,3,1
1358,51,32,87.0,15,21,7,1,5.0,0,7,27.0,2,7,4,2
3348,24,41,85.0,21,9,3,2,4.0,2,1,26.0,0,10,6,3
541,12,43,87.0,0,21,5,2,4.0,1,6,26.0,2,9,3,2
1485,29,21,92.0,19,20,6,0,5.0,4,5,25.0,1,10,4,1
252,49,37,72.0,20,21,10,7,7.0,9,3,26.0,2,9,3,0
264,27,34,84.0,0,13,6,6,5.0,5,3,26.0,2,7,5,1
3561,37,37,82.0,21,18,4,4,5.0,5,2,27.0,1,7,4,0
2981,29,41,80.0,19,12,5,1,6.0,0,4,27.0,0,10,6,0
1471,29,36,92.0,20,9,3,3,3.0,10,6,26.0,1,8,5,0
1234,21,30,89.0,14,10,4,1,4.0,10,6,26.0,2,9,4,0
3901,16,40,89.0,4,15,6,3,5.0,8,2,25.0,2,7,3,2
1401,27,36,82.0,14,16,6,2,8.0,4,5,28.0,2,9,3,0
2967,19,47,86.0,16,19,1,7,5.0,9,4,26.0,1,10,4,3
3699,16,48,78.0,11,16,10,3,6.0,8,4,27.0,1,7,6,2
1158,60,42,87.0,23,9,8,5,5.0,0,7,27.0,2,7,4,1
918,43,59,85.0,5,7,4,2,7.0,9,2,26.0,1,9,3,3
3505,52,39,85.0,0,15,2,7,5.0,4,1,27.0,0,10,3,1
1064,58,23,93.0,10,8,2,7,4.0,4,5,25.0,1,10,5,0
1533,22,46,87.0,16,12,3,1,5.0,4,6,25.0,1,9,6,3
2733,42,56,84.0,9,9,7,2,7.0,9,4,28.0,0,8,3,0
300,54,31,85.0,23,18,2,10,4.0,6,3,26.0,0,8,4,1
3335,48,31,74.0,10,14,3,11,7.0,8,3,26.0,1,8,4,1
2474,17,56,84.0,14,20,6,2,5.0,3,1,26.0,1,7,3,0
3207,44,36,85.0,13,16,5,7,5.0,6,4,26.0,1,8,6,0
553,49,53,88.0,1,8,1,6,5.0,0,6,26.0,2,10,5,2
1512,45,18,89.0,17,8,6,5,4.0,9,1,26.0,1,10,4,3
3451,32,35,85.0,2,11,9,8,5.0,5,5,26.0,0,8,5,2
1821,19,28,76.0,15,16,3,10,6.0,2,3,26.0,0,7,4,0
467,16,52,94.0,12,18,5,4,4.0,0,5,24.0,1,9,5,2
344,33,41,91.0,10,14,9,8,4.0,10,7,25.0,2,9,5,0
2659,49,59,84.0,21,16,1,3,5.0,3,1,26.0,0,9,3,3
3842,29,29,69.0,23,17,5,8,6.0,3,3,28.0,2,10,4,3
2720,41,59,80.0,8,19,0,5,6.0,0,1,26.0,2,7,5,2
2811,36,51,84.0,4,11,5,1,6.0,9,2,26.0,2,10,6,1
3204,20,60,77.0,3,10,7,7,8.0,8,6,28.0,0,7,6,3
2571,59,24,85.0,13,13,0,10,4.0,2,7,27.0,1,8,3,0
1417,47,56,81.0,19,7,8,1,5.0,6,6,26.0,1,9,6,1
2831,25,22,86.0,14,9,2,4,4.0,7,6,26.0,0,9,3,3
2166,47,28,91.0,17,14,0,1,5.0,0,3,25.0,0,10,3,1
1448,13,46,88.0,16,21,4,2,5.0,4,7,26.0,1,8,4,2
2646,46,56,83.0,12,9,7,5,9.0,6,3,27.0,0,8,6,2
166,29,53,85.0,12,10,6,8,6.0,0,6,27.0,1,10,6,1
1706,28,26,90.0,18,20,10,1,4.0,9,4,26.0,0,9,5,1
1338,31,26,88.0,19,21,2,6,4.0,9,3,26.0,2,8,6,3
2590,14,39,71.0,14,18,2,0,10.0,0,6,28.0,1,8,4,0
1888,22,57,75.0,15,19,2,11,6.0,7,3,27.0,0,9,4,2
2455,36,39,89.0,9,18,10,2,4.0,2,3,26.0,0,8,6,1
3177,19,41,92.0,6,21,6,2,6.0,4,7,26.0,1,7,3,2
2147,15,54,82.0,0,9,2,10,6.0,2,2,27.0,1,9,6,2
3741,32,33,73.0,5,14,9,0,6.0,2,4,26.0,2,10,6,3
439,31,37,91.0,9,15,1,2,3.0,10,4,25.0,2,8,4,2
2739,28,28,82.0,15,18,1,2,6.0,10,2,27.0,2,10,3,1
21,15,53,77.0,11,19,3,2,7.0,0,2,27.0,1,9,5,1
3237,54,45,88.0,16,14,9,1,6.0,2,1,26.0,1,8,3,2
2701,29,31,84.0,23,16,0,1,9.0,7,3,27.0,1,8,6,1
1079,49,52,74.0,5,14,2,5,10.0,3,6,28.0,0,10,4,3
2114,38,40,86.0,13,11,9,2,5.0,2,6,26.0,2,10,4,2
3459,33,37,88.0,11,16,5,1,4.0,3,3,26.0,1,9,5,3
2566,36,43,79.0,13,7,1,1,6.0,9,4,27.0,0,7,3,1
2355,13,60,88.0,20,7,7,7,4.0,1,3,25.0,2,8,3,1
1849,30,48,82.0,14,7,10,7,5.0,8,3,27.0,1,9,6,2
3049,42,33,84.0,5,21,0,2,5.0,10,1,27.0,2,7,4,2
1227,56,49,82.0,19,8,5,3,6.0,0,6,26.0,1,9,3,1
2470,40,57,81.0,13,20,7,4,5.0,10,7,27.0,0,8,3,0
1650,25,54,84.0,23,11,1,5,4.0,7,6,26.0,0,10,4,2
648,43,42,88.0,22,18,0,11,4.0,7,6,26.0,2,7,4,1
1213,35,44,76.0,14,13,0,3,6.0,0,7,27.0,0,9,4,3
1544,22,43,78.0,12,19,8,7,5.0,1,7,27.0,1,10,5,3
3794,14,30,94.0,6,17,9,5,4.0,7,7,25.0,1,9,4,0
313,51,36,87.0,9,11,1,6,4.0,0,6,26.0,2,10,6,2
487,26,28,94.0,18,9,1,2,5.0,6,5,25.0,1,7,3,1
229,22,53,73.0,14,15,6,2,7.0,2,3,26.0,0,7,6,0
1047,58,53,73.0,15,11,2,1,5.0,2,1,28.0,1,7,4,2
2532,14,46,87.0,6,10,0,10,6.0,5,7,27.0,0,8,3,1
2152,57,42,77.0,9,20,2,2,10.0,5,1,27.0,2,7,4,1
3115,33,59,92.0,2,21,2,9,4.0,3,4,26.0,2,8,5,3
2829,11,43,87.0,15,14,7,1,5.0,8,5,26.0,2,9,5,1
286,60,41,85.0,21,18,6,2,4.0,5,3,26.0,0,7,3,1
2371,45,54,78.0,8,11,7,1,7.0,6,7,26.0,1,7,6,3
1698,38,55,90.0,6,16,5,4,6.0,5,5,26.0,1,9,4,2
1478,22,21,75.0,4,7,8,1,5.0,3,5,29.0,0,10,6,1
1977,20,23,78.0,7,16,8,11,6.0,5,3,26.0,1,9,3,2
1653,37,43,88.0,16,20,0,1,5.0,7,3,25.0,1,8,4,1
2103,21,24,78.0,15,14,10,11,6.0,8,3,26.0,1,7,6,1
810,57,33,86.0,1,10,6,0,4.0,0,4,27.0,2,8,4,3
1693,44,33,69.0,10,13,3,0,12.0,0,6,29.0,1,7,4,0
3040,53,31,75.0,11,19,7,7,10.0,7,5,29.0,1,8,5,2
431,17,37,92.0,22,8,6,3,4.0,9,3,25.0,1,7,5,1
3835,51,22,84.0,12,14,4,1,4.0,7,6,27.0,2,7,6,1
2792,26,48,79.0,8,20,1,11,6.0,3,2,27.0,1,9,5,3
3133,58,37,76.0,5,12,5,9,10.0,6,1,27.0,2,7,5,1
3911,55,47,74.0,2,8,9,7,7.0,0,6,28.0,1,7,5,1
1368,18,39,86.0,5,18,0,1,5.0,2,4,26.0,1,9,3,1
620,57,49,88.0,14,12,6,0,5.0,6,6,25.0,1,10,6,2
3773,45,38,91.0,20,19,3,8,3.0,2,2,26.0,0,8,6,0
1520,12,53,93.0,19,21,7,4,4.0,9,7,25.0,2,8,4,1
3046,60,28,88.0,4,14,0,2,5.0,5,4,26.0,0,9,3,1
3262,48,31,84.0,8,17,2,3,5.0,5,6,26.0,2,7,5,0
3476,27,36,76.0,20,20,1,1,6.0,2,7,26.0,1,9,3,3
936,25,33,91.0,13,14,6,9,3.0,0,2,25.0,2,10,4,3
1205,60,47,88.0,5,19,0,2,6.0,3,3,26.0,0,7,5,0
1202,11,57,90.0,7,11,0,1,4.0,9,4,25.0,2,9,6,0
2783,60,20,88.0,22,20,9,3,5.0,8,6,27.0,2,7,6,3
284,23,54,84.0,21,7,1,2,5.0,2,3,26.0,2,9,3,0
3710,44,58,89.0,19,8,2,4,4.0,3,4,26.0,2,9,4,3
3958,40,29,83.0,18,11,1,4,5.0,2,2,26.0,2,7,5,1
1801,34,28,79.0,10,10,6,8,6.0,7,4,27.0,1,7,5,0
130,29,31,77.0,15,14,6,5,7.0,0,5,27.0,0,7,3,0
521,41,50,94.0,22,13,10,0,4.0,6,5,25.0,0,10,6,1
955,32,30,83.0,9,14,5,5,4.0,4,2,26.0,2,8,5,1
913,38,26,72.0,20,20,9,2,5.0,8,5,29.0,2,8,3,3
859,37,52,72.0,4,10,3,10,5.0,6,5,29.0,1,10,6,3
2033,51,31,87.0,5,19,7,5,5.0,6,5,26.0,2,9,6,1
1651,58,43,90.0,5,17,3,2,4.0,8,4,25.0,1,8,3,0
1315,38,36,77.0,16,16,2,5,6.0,1,4,27.0,1,7,3,1
1809,53,49,76.0,4,7,3,5,5.0,6,6,27.0,0,7,4,2
2806,44,60,89.0,10,8,5,2,5.0,3,5,26.0,0,7,4,3
623,29,32,88.0,14,11,0,4,4.0,6,6,26.0,1,10,3,2
688,36,47,90.0,3,7,6,4,5.0,6,7,26.0,1,10,6,1
2518,17,27,81.0,22,8,7,10,8.0,7,3,27.0,1,8,4,1
1366,28,18,82.0,15,9,3,10,5.0,9,7,27.0,1,7,6,0
610,18,49,87.0,13,17,6,2,4.0,6,6,26.0,1,8,6,1
2201,33,52,90.0,12,7,0,3,3.0,10,2,25.0,1,8,6,2
462,49,53,94.0,9,13,6,0,4.0,6,5,25.0,0,10,6,2
1573,27,26,79.0,13,7,5,5,6.0,1,3,27.0,1,10,6,2
792,27,37,70.0,15,21,1,11,10.0,1,6,28.0,0,10,6,0
308,42,33,87.0,3,16,4,2,4.0,6,6,26.0,1,10,5,2
579,23,36,87.0,10,9,9,2,4.0,10,6,26.0,0,9,6,1
105,25,44,75.0,18,14,6,10,6.0,4,4,27.0,2,7,5,2
1705,59,32,73.0,8,9,5,2,7.0,1,6,29.0,1,9,3,1
3024,17,48,81.0,10,15,3,1,5.0,4,7,27.0,1,9,5,3
1011,26,32,75.0,8,10,6,5,6.0,6,7,26.0,0,10,4,2
1034,13,56,92.0,8,13,4,1,3.0,8,6,25.0,1,9,4,0
3665,50,59,72.0,0,10,9,2,5.0,7,5,29.0,1,8,5,0
1336,51,44,84.0,16,12,3,7,4.0,10,1,26.0,0,9,3,1
2037,34,51,87.0,3,14,7,10,6.0,0,7,26.0,1,9,4,0
2499,41,47,83.0,17,14,4,7,10.0,7,2,27.0,0,9,6,1
2406,19,58,85.0,1,14,10,10,6.0,5,1,27.0,0,10,5,3
2764,50,36,83.0,14,11,3,10,4.0,0,6,27.0,1,10,3,2
2501,55,58,84.0,7,18,6,1,6.0,5,2,27.0,1,8,6,3
3791,47,35,87.0,17,15,8,2,4.0,8,1,26.0,0,7,4,0
2129,47,18,76.0,6,20,2,2,5.0,10,6,27.0,1,10,5,0
2505,24,23,89.0,4,13,1,7,6.0,2,2,26.0,2,10,6,0
976,24,21,66.0,10,11,8,7,9.0,4,4,28.0,0,10,6,1
1707,16,36,91.0,0,10,0,2,5.0,10,3,25.0,1,7,5,1
3044,35,19,87.0,1,8,8,9,6.0,7,7,27.0,2,7,3,2
1818,30,31,77.0,2,10,7,10,8.0,4,5,28.0,2,8,4,2
1173,48,22,89.0,8,20,3,2,3.0,5,2,26.0,0,9,6,1
1340,59,45,86.0,7,7,7,2,4.0,2,3,27.0,1,7,5,3
2984,30,18,86.0,21,10,8,1,4.0,7,7,27.0,0,8,5,0
2373,35,34,84.0,3,12,3,0,4.0,4,6,26.0,1,7,3,3
1509,33,21,85.0,14,14,2,2,6.0,6,7,25.0,0,7,3,0
1929,50,33,88.0,22,21,8,6,7.0,0,2,26.0,1,8,6,3
3502,42,40,83.0,13,15,8,1,4.0,0,6,26.0,2,8,5,2
353,25,53,91.0,12,15,7,10,4.0,6,7,25.0,1,8,5,1
731,23,35,90.0,4,13,3,11,4.0,2,7,25.0,2,8,5,2
1445,26,22,88.0,16,9,7,4,5.0,5,3,25.0,1,8,4,1
702,33,43,90.0,4,11,6,2,4.0,0,7,25.0,2,10,5,2
3369,46,38,88.0,22,21,7,1,5.0,2,3,26.0,0,8,4,1
160,44,37,86.0,10,12,1,2,4.0,1,6,27.0,2,9,4,0
1385,45,53,93.0,10,7,9,5,4.0,6,7,25.0,1,9,3,0
501,12,51,94.0,21,20,3,2,4.0,0,5,25.0,2,10,5,1
3945,60,48,73.0,8,7,3,11,6.0,1,4,26.0,0,9,4,0
2189,29,28,73.0,18,20,3,1,6.0,4,3,28.0,1,8,3,2
1007,38,19,90.0,0,7,5,5,4.0,9,4,26.0,2,7,4,2
1890,18,60,82.0,11,11,5,5,5.0,2,3,27.0,1,9,3,3
1287,45,48,78.0,4,11,7,9,5.0,8,4,27.0,1,9,3,3
368,38,50,91.0,16,7,9,6,4.0,6,1,26.0,2,8,3,0
3603,38,44,71.0,20,17,5,4,6.0,0,5,27.0,1,7,5,0
1318,42,29,84.0,10,16,3,10,4.0,7,6,27.0,1,7,4,2
493,19,35,94.0,20,20,0,2,4.0,0,5,24.0,1,7,4,3
1963,52,22,79.0,5,21,7,0,5.0,2,4,27.0,1,10,4,1
333,58,30,91.0,8,19,6,6,4.0,6,7,25.0,0,7,5,2
1475,50,49,94.0,16,14,3,2,4.0,5,7,25.0,0,10,5,3
3048,54,31,83.0,0,14,2,10,5.0,10,1,27.0,0,10,6,1
1138,37,31,89.0,12,12,1,5,4.0,3,1,25.0,1,9,3,3
1221,37,51,90.0,22,12,2,5,4.0,2,5,26.0,2,9,3,1
3728,20,18,80.0,20,9,10,10,8.0,9,6,28.0,0,8,4,0
380,57,33,91.0,20,8,2,10,4.0,1,1,26.0,0,10,4,1
3098,26,48,91.0,2,17,7,1,6.0,9,4,26.0,2,7,4,1
3972,40,36,94.0,18,20,8,1,4.0,5,7,26.0,0,10,4,0
67,13,30,74.0,2,13,6,6,9.0,2,3,27.0,0,7,6,2
2264,30,26,88.0,13,8,5,4,5.0,5,5,26.0,2,7,4,1
2416,14,24,72.0,15,18,1,3,7.0,6,4,27.0,1,9,3,2
1882,16,56,88.0,10,9,9,1,7.0,8,4,26.0,1,10,5,1
477,52,49,94.0,15,12,6,2,5.0,1,5,25.0,0,8,3,1
3247,29,47,84.0,23,16,2,0,6.0,4,1,26.0,0,7,6,1
1172,17,30,88.0,22,9,6,5,6.0,7,5,26.0,2,7,3,0
425,31,50,91.0,21,16,1,1,6.0,2,3,26.0,1,9,3,2
1333,55,29,86.0,4,17,7,1,4.0,5,5,26.0,1,9,4,1
199,52,46,85.0,23,14,1,8,4.0,1,6,27.0,0,10,4,2
2419,28,33,91.0,4,14,8,1,5.0,2,6,26.0,2,10,3,2
1938,36,41,85.0,20,9,8,1,9.0,5,3,27.0,0,9,5,0
143,53,40,77.0,22,18,0,4,7.0,4,5,27.0,2,10,4,2
3796,18,45,92.0,13,21,1,7,5.0,7,3,25.0,2,7,6,0
249,39,43,73.0,19,10,8,8,6.0,10,3,25.0,0,10,5,3
2541,11,58,73.0,20,7,7,6,7.0,1,6,29.0,2,10,4,2
1454,39,39,85.0,20,11,1,7,5.0,2,5,25.0,2,10,4,3
2573,59,30,88.0,15,8,3,0,5.0,10,4,26.0,2,9,4,3
417,45,53,91.0,16,21,6,8,6.0,2,3,26.0,0,10,6,2
3784,54,38,78.0,14,12,5,2,6.0,2,4,27.0,2,8,4,1
2880,19,57,90.0,22,17,10,10,5.0,1,3,26.0,1,7,4,3
3212,33,25,87.0,0,12,6,2,5.0,5,6,26.0,2,7,4,0
3045,54,47,76.0,11,10,4,1,10.0,7,1,27.0,2,8,3,1
2112,46,49,84.0,17,7,0,1,4.0,8,1,26.0,2,10,5,2
3419,20,52,88.0,2,16,1,1,3.0,8,1,26.0,0,7,6,1
2570,16,37,86.0,1,10,2,4,7.0,8,2,26.0,1,8,6,2
1288,48,50,92.0,2,9,1,5,5.0,8,5,25.0,1,7,5,3
3218,46,35,81.0,23,11,7,10,4.0,0,2,27.0,0,10,5,1
912,33,44,86.0,20,11,4,9,4.0,4,3,27.0,2,7,6,2
2666,36,46,81.0,3,15,1,5,5.0,1,1,27.0,1,10,5,1
765,51,40,90.0,4,17,6,0,4.0,6,7,25.0,0,8,6,1
146,58,36,84.0,0,19,4,3,4.0,5,6,26.0,2,9,3,1
1133,23,19,84.0,3,19,7,2,5.0,2,1,26.0,1,9,5,1
394,48,33,90.0,23,9,6,3,4.0,9,1,26.0,1,7,3,2
2357,49,58,75.0,9,13,9,8,6.0,6,3,27.0,1,8,3,0
3771,47,58,94.0,16,13,4,9,8.0,8,4,25.0,0,10,5,3
321,25,48,86.0,12,14,6,2,4.0,0,6,26.0,1,7,4,2
1957,29,27,78.0,7,13,10,1,6.0,6,3,26.0,0,8,5,0
2271,38,22,82.0,13,19,0,7,5.0,10,7,27.0,2,8,4,3
2546,11,26,84.0,7,13,8,1,5.0,8,2,27.0,0,8,3,3
3351,22,24,87.0,14,8,10,1,4.0,7,3,26.0,0,9,4,2
2071,45,26,88.0,1,9,6,8,6.0,6,4,26.0,1,10,4,3
3357,57,34,92.0,6,12,10,0,3.0,0,3,25.0,2,9,3,1
930,33,26,76.0,15,19,3,8,6.0,3,7,26.0,1,7,4,3
2582,34,32,88.0,17,17,2,9,5.0,10,4,26.0,1,10,4,3
1945,31,50,76.0,11,19,4,2,5.0,10,5,28.0,1,10,4,3
3264,42,44,90.0,12,16,7,1,5.0,5,5,26.0,2,7,6,0
3067,23,34,86.0,14,9,3,2,4.0,6,5,26.0,1,9,4,0
606,44,40,88.0,12,14,2,6,5.0,2,6,26.0,0,9,3,2
74,25,31,71.0,12,10,6,10,8.0,2,3,27.0,0,8,5,1
1764,14,50,85.0,9,14,7,4,5.0,5,7,26.0,2,9,3,0
1322,12,34,77.0,4,7,4,4,6.0,3,3,26.0,0,10,5,2
1576,36,49,86.0,15,16,2,3,5.0,1,1,27.0,1,9,4,1
113,50,47,72.0,1,12,5,2,9.0,8,5,28.0,2,8,3,1
986,56,35,85.0,15,14,3,1,4.0,3,6,27.0,1,10,4,0
3309,49,43,80.0,6,20,0,5,8.0,6,6,28.0,1,8,6,2
747,59,44,89.0,4,9,6,3,5.0,9,7,26.0,1,7,4,1
1863,17,31,79.0,19,9,3,9,6.0,9,2,27.0,1,7,5,3
222,23,47,90.0,6,16,5,1,5.0,2,7,25.0,0,10,4,0
1348,41,53,70.0,8,10,3,7,5.0,9,1,28.0,0,8,4,2
1502,49,39,84.0,1,13,0,2,4.0,8,6,27.0,1,8,5,1
2735,16,46,86.0,9,12,3,9,4.0,4,7,27.0,0,7,3,1
1665,25,20,80.0,15,21,3,7,5.0,2,7,27.0,1,10,3,1
2579,57,50,88.0,8,16,3,11,5.0,10,7,26.0,1,8,6,3
3391,44,47,74.0,8,9,3,5,7.0,3,6,29.0,2,8,5,1
35,16,46,77.0,18,20,6,10,7.0,6,2,27.0,0,10,6,0
830,29,49,74.0,8,16,2,1,10.0,1,2,27.0,2,10,4,0
2312,27,35,91.0,0,18,1,11,4.0,10,2,26.0,0,9,5,2
2787,31,53,75.0,15,8,0,9,10.0,5,5,29.0,1,10,6,2
1761,22,30,91.0,9,9,5,1,5.0,2,6,26.0,1,10,3,3
347,30,46,91.0,11,18,0,4,6.0,6,7,25.0,1,8,3,2
167,38,51,85.0,13,14,2,11,6.0,0,6,27.0,1,7,6,1
3443,46,49,72.0,10,10,5,1,5.0,3,6,28.0,0,9,3,3
116,52,37,77.0,4,18,5,2,7.0,6,5,27.0,1,8,5,2
530,30,44,94.0,23,21,2,11,4.0,2,5,25.0,2,7,6,2
1394,37,46,69.0,23,8,6,1,6.0,8,3,28.0,2,9,5,2
1028,11,56,90.0,22,13,1,0,3.0,3,1,25.0,0,8,4,0
3815,59,45,81.0,9,7,10,3,6.0,8,2,27.0,1,7,5,0
2594,60,55,87.0,14,13,7,2,7.0,9,5,26.0,1,9,3,0
2943,57,57,90.0,16,13,2,2,6.0,1,5,25.0,2,8,6,1
3036,17,38,83.0,6,9,3,2,7.0,4,3,27.0,1,10,4,0
3297,16,55,90.0,3,20,9,0,4.0,7,1,25.0,1,9,4,2
2816,54,34,76.0,3,14,2,8,6.0,7,3,27.0,2,8,3,1
3256,40,44,90.0,22,18,3,1,4.0,2,1,25.0,1,10,5,1
1779,13,44,81.0,7,15,4,5,6.0,4,6,26.0,2,10,6,3
1025,41,35,80.0,5,15,4,11,7.0,10,5,28.0,1,10,5,2
81,35,48,74.0,14,13,1,6,8.0,9,3,27.0,1,9,5,0
3263,28,24,88.0,17,14,9,3,3.0,9,1,26.0,1,10,6,1
2030,47,26,81.0,18,11,1,1,8.0,10,3,27.0,0,8,5,2
2439,48,26,83.0,22,16,1,11,4.0,6,6,27.0,2,10,3,3
3422,46,19,87.0,13,19,5,2,8.0,6,7,26.0,2,10,3,0
1476,36,38,92.0,12,17,3,0,3.0,10,6,25.0,0,8,6,3
3853,19,55,79.0,1,16,6,2,7.0,10,6,27.0,2,10,3,2
3438,43,46,78.0,4,7,2,3,4.0,2,3,27.0,1,7,6,0
1477,40,19,85.0,16,16,0,3,4.0,4,1,26.0,1,8,3,1
2661,34,22,73.0,4,7,5,2,8.0,0,2,27.0,2,9,6,0
3798,52,34,89.0,4,18,6,4,3.0,4,1,25.0,1,10,5,3
2157,13,32,90.0,20,19,5,9,4.0,8,1,26.0,0,7,3,2
1886,56,21,85.0,20,18,7,2,4.0,9,4,27.0,1,10,6,0
3420,52,24,80.0,1,15,5,6,6.0,3,4,27.0,2,8,5,2
1629,59,22,84.0,10,11,2,1,4.0,4,6,27.0,2,7,5,2
2613,49,42,86.0,17,21,8,5,5.0,9,3,27.0,2,10,6,1
40,23,34,77.0,18,18,0,8,7.0,8,2,27.0,2,9,5,0
1704,60,39,78.0,22,9,3,1,6.0,9,3,25.0,0,8,5,0
3503,12,43,91.0,22,20,7,7,3.0,1,2,26.0,0,8,4,1
3021,36,43,90.0,12,10,0,0,6.0,9,4,26.0,1,7,6,0
311,11,39,87.0,7,7,1,2,4.0,2,6,26.0,1,9,6,0
1631,31,59,87.0,23,16,10,10,5.0,6,7,27.0,2,10,6,1
2358,39,55,94.0,4,17,8,4,8.0,5,4,25.0,1,10,6,0
2067,20,56,89.0,4,15,5,7,5.0,9,1,27.0,0,9,6,2
1426,59,33,82.0,14,14,6,8,8.0,10,5,27.0,2,10,3,2
2002,29,26,90.0,19,17,3,2,5.0,9,5,26.0,2,10,4,1
357,16,53,91.0,13,9,1,10,4.0,2,7,25.0,0,10,4,2
3680,17,27,82.0,15,12,1,5,6.0,5,7,28.0,2,8,3,0
2311,29,57,84.0,5,21,8,4,5.0,2,7,26.0,1,9,4,3
1827,23,24,83.0,12,7,1,2,4.0,2,2,26.0,2,9,3,2
128,23,52,77.0,12,16,1,1,9.0,7,5,27.0,0,8,5,0
1009,47,25,90.0,6,19,10,4,4.0,2,5,25.0,1,9,6,1
1813,48,20,91.0,12,7,0,2,5.0,5,6,26.0,1,9,4,1
2389,35,51,87.0,5,14,2,2,5.0,0,5,26.0,2,9,3,1
657,51,40,90.0,0,21,6,3,4.0,9,7,25.0,1,7,5,1
1246,53,25,94.0,1,16,10,7,4.0,9,4,25.0,2,8,5,1
3679,12,20,94.0,19,8,10,1,4.0,2,7,26.0,0,8,4,3
201,39,42,84.0,0,7,2,2,6.0,0,7,27.0,2,7,4,0
3757,28,25,86.0,0,7,7,1,4.0,7,3,27.0,2,9,5,3
1421,45,45,85.0,3,11,9,5,7.0,6,2,26.0,2,8,3,2
3377,58,49,89.0,9,16,6,1,3.0,6,1,25.0,0,10,5,2
2768,59,19,65.0,23,10,0,2,14.0,5,7,30.0,0,9,5,3
2424,15,35,82.0,10,11,2,7,5.0,3,3,28.0,0,9,5,3
3246,26,39,92.0,1,11,4,7,3.0,7,6,26.0,1,8,3,2
593,29,29,88.0,11,7,4,2,5.0,6,6,26.0,1,7,3,2
970,37,19,88.0,19,11,5,7,4.0,10,4,26.0,0,7,6,1
202,15,50,84.0,0,20,10,0,5.0,10,7,27.0,2,10,6,1
3320,43,39,89.0,13,12,7,2,3.0,9,1,25.0,1,7,4,0
1974,41,27,85.0,14,20,0,4,5.0,7,5,26.0,1,7,6,1
2629,22,22,89.0,15,10,8,5,6.0,3,7,26.0,0,9,6,1
3736,31,44,87.0,14,7,9,10,4.0,0,7,26.0,1,9,5,0
2530,35,40,87.0,8,21,7,6,4.0,1,6,26.0,2,9,6,0
2397,17,22,77.0,18,17,5,5,6.0,10,6,28.0,2,10,4,1
1980,36,45,88.0,17,13,7,1,4.0,2,5,26.0,1,9,6,2
3868,39,59,84.0,3,20,0,10,5.0,9,6,26.0,1,7,6,3
3111,43,50,79.0,16,13,3,6,7.0,8,6,27.0,0,9,5,3
1187,32,37,74.0,0,18,6,0,5.0,9,6,28.0,2,10,6,1
351,44,32,91.0,12,16,0,2,4.0,6,7,25.0,2,10,3,1
1755,47,46,89.0,3,15,5,11,3.0,5,2,25.0,2,9,5,0
1595,32,49,89.0,2,8,7,4,4.0,1,1,26.0,0,10,5,0
42,15,33,77.0,20,14,2,11,7.0,2,2,27.0,1,10,4,0
2149,47,35,88.0,4,21,8,1,4.0,9,3,25.0,1,10,3,2
2383,32,45,90.0,2,15,5,1,4.0,4,5,26.0,2,9,3,0
1273,30,26,84.0,15,8,7,1,6.0,3,1,26.0,0,9,3,1
2182,51,21,91.0,22,7,0,1,4.0,2,5,26.0,0,9,4,3
574,57,36,88.0,9,15,7,1,5.0,5,6,26.0,2,8,3,1
1920,29,59,78.0,10,18,7,6,7.0,2,7,26.0,1,9,5,1
3754,36,36,73.0,21,8,5,1,6.0,5,4,26.0,1,9,6,0
